
---------------------------------------------------------------------start subect:1---------------------------------------------------------------------
 Epoch 0 tra_loss: 16.2471, tra_acc: 0.9009, tes_acc: 0.5094, tes_loss: 17.6856, best_acc: 0.5094, best_epoch: 1
Epoch 1 tra_loss: 14.5832, tra_acc: 1.0000, tes_acc: 0.4569, tes_loss: 17.3105, best_acc: 0.5094, best_epoch: 1
Epoch 2 tra_loss: 13.9124, tra_acc: 1.0000, tes_acc: 0.4569, tes_loss: 16.7260, best_acc: 0.5094, best_epoch: 1
Epoch 3 tra_loss: 13.4520, tra_acc: 1.0000, tes_acc: 0.5094, tes_loss: 15.9825, best_acc: 0.5094, best_epoch: 1
Epoch 4 tra_loss: 13.0327, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 14.8776, best_acc: 0.5918, best_epoch: 5
Epoch 5 tra_loss: 12.6521, tra_acc: 1.0000, tes_acc: 0.5393, tes_loss: 14.1432, best_acc: 0.5918, best_epoch: 5
Epoch 6 tra_loss: 12.2999, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 13.6818, best_acc: 0.5918, best_epoch: 5
Epoch 7 tra_loss: 11.9704, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 13.3330, best_acc: 0.5918, best_epoch: 5
Epoch 8 tra_loss: 11.6193, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 12.9915, best_acc: 0.5918, best_epoch: 5
Epoch 9 tra_loss: 11.2947, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 12.6908, best_acc: 0.5918, best_epoch: 5
Epoch 10 tra_loss: 10.9684, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 12.3283, best_acc: 0.5918, best_epoch: 5
Epoch 11 tra_loss: 10.6504, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 11.9003, best_acc: 0.5918, best_epoch: 5
Epoch 12 tra_loss: 10.3304, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 11.5964, best_acc: 0.7828, best_epoch: 13
Epoch 13 tra_loss: 10.0229, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 11.2867, best_acc: 0.7828, best_epoch: 13
Epoch 14 tra_loss: 9.7243, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 10.9125, best_acc: 0.7828, best_epoch: 13
Epoch 15 tra_loss: 9.4457, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 10.6767, best_acc: 0.7828, best_epoch: 13
Epoch 16 tra_loss: 9.1817, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 10.4417, best_acc: 0.7828, best_epoch: 13
Epoch 17 tra_loss: 8.9246, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 10.2414, best_acc: 0.7828, best_epoch: 13
Epoch 18 tra_loss: 8.6843, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 9.8085, best_acc: 0.7828, best_epoch: 13
Epoch 19 tra_loss: 8.4498, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 9.6254, best_acc: 0.7828, best_epoch: 13
Epoch 20 tra_loss: 8.2291, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 9.5690, best_acc: 0.7828, best_epoch: 13
Epoch 21 tra_loss: 8.0325, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 9.2298, best_acc: 0.7828, best_epoch: 13
Epoch 22 tra_loss: 7.8697, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 9.0520, best_acc: 0.7828, best_epoch: 13
Epoch 23 tra_loss: 7.7282, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 9.0383, best_acc: 0.7828, best_epoch: 13
Epoch 24 tra_loss: 7.6027, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 8.9020, best_acc: 0.7828, best_epoch: 13
Epoch 25 tra_loss: 7.5168, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 8.7098, best_acc: 0.7828, best_epoch: 13
Epoch 26 tra_loss: 7.3740, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 8.5653, best_acc: 0.7828, best_epoch: 13
Epoch 27 tra_loss: 7.2621, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 8.3322, best_acc: 0.7828, best_epoch: 13
Epoch 28 tra_loss: 7.1540, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 8.2881, best_acc: 0.7828, best_epoch: 13
Epoch 29 tra_loss: 7.0456, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 8.0981, best_acc: 0.7828, best_epoch: 13
Epoch 30 tra_loss: 6.9389, tra_acc: 1.0000, tes_acc: 0.9139, tes_loss: 7.9961, best_acc: 0.9139, best_epoch: 31
Epoch 31 tra_loss: 6.8364, tra_acc: 1.0000, tes_acc: 0.8015, tes_loss: 7.9573, best_acc: 0.9139, best_epoch: 31
Epoch 32 tra_loss: 6.7351, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 7.8680, best_acc: 0.9139, best_epoch: 31
Epoch 33 tra_loss: 6.6422, tra_acc: 1.0000, tes_acc: 0.9363, tes_loss: 7.6712, best_acc: 0.9363, best_epoch: 34
Epoch 34 tra_loss: 6.5413, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 7.7369, best_acc: 0.9363, best_epoch: 34
Epoch 35 tra_loss: 6.4430, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 7.7242, best_acc: 0.9363, best_epoch: 34
Epoch 36 tra_loss: 6.3494, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 7.5838, best_acc: 0.9363, best_epoch: 34
Epoch 37 tra_loss: 6.2550, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 7.5927, best_acc: 0.9363, best_epoch: 34
Epoch 38 tra_loss: 6.1991, tra_acc: 1.0000, tes_acc: 0.9363, tes_loss: 7.3207, best_acc: 0.9363, best_epoch: 34
Epoch 39 tra_loss: 6.0972, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 7.1759, best_acc: 0.9363, best_epoch: 34
Epoch 40 tra_loss: 6.0268, tra_acc: 1.0000, tes_acc: 0.7266, tes_loss: 7.3366, best_acc: 0.9363, best_epoch: 34
Epoch 41 tra_loss: 5.9384, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 7.4473, best_acc: 0.9363, best_epoch: 34
Epoch 42 tra_loss: 5.8551, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 7.3978, best_acc: 0.9363, best_epoch: 34
Epoch 43 tra_loss: 5.7639, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 7.1003, best_acc: 0.9363, best_epoch: 34
Epoch 44 tra_loss: 5.6783, tra_acc: 1.0000, tes_acc: 0.9363, tes_loss: 6.7793, best_acc: 0.9363, best_epoch: 34
Epoch 45 tra_loss: 5.5997, tra_acc: 1.0000, tes_acc: 0.9363, tes_loss: 6.7895, best_acc: 0.9363, best_epoch: 34
Epoch 46 tra_loss: 5.5214, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 6.8684, best_acc: 0.9363, best_epoch: 34
Epoch 47 tra_loss: 5.4902, tra_acc: 1.0000, tes_acc: 0.7303, tes_loss: 6.7681, best_acc: 0.9363, best_epoch: 34
Epoch 48 tra_loss: 5.4255, tra_acc: 1.0000, tes_acc: 0.8464, tes_loss: 6.7077, best_acc: 0.9363, best_epoch: 34
Epoch 49 tra_loss: 5.3798, tra_acc: 1.0000, tes_acc: 0.4419, tes_loss: 7.7986, best_acc: 0.9363, best_epoch: 34
Epoch 50 tra_loss: 5.2818, tra_acc: 1.0000, tes_acc: 0.8464, tes_loss: 6.3398, best_acc: 0.9363, best_epoch: 34
Epoch 51 tra_loss: 5.2195, tra_acc: 1.0000, tes_acc: 0.7715, tes_loss: 6.4788, best_acc: 0.9363, best_epoch: 34
Epoch 52 tra_loss: 5.1543, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 6.4043, best_acc: 0.9363, best_epoch: 34
Epoch 53 tra_loss: 5.1053, tra_acc: 1.0000, tes_acc: 0.5393, tes_loss: 6.7802, best_acc: 0.9363, best_epoch: 34
Epoch 54 tra_loss: 5.0147, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 6.0270, best_acc: 0.9363, best_epoch: 34
Epoch 55 tra_loss: 4.9312, tra_acc: 1.0000, tes_acc: 0.8427, tes_loss: 6.0204, best_acc: 0.9363, best_epoch: 34
Epoch 56 tra_loss: 4.8639, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 6.2616, best_acc: 0.9363, best_epoch: 34
Epoch 57 tra_loss: 4.7904, tra_acc: 1.0000, tes_acc: 0.6255, tes_loss: 5.8115, best_acc: 0.9363, best_epoch: 34
Epoch 58 tra_loss: 4.7270, tra_acc: 1.0000, tes_acc: 0.6255, tes_loss: 5.7637, best_acc: 0.9363, best_epoch: 34
Epoch 59 tra_loss: 4.6740, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 5.7348, best_acc: 0.9363, best_epoch: 34
Epoch 60 tra_loss: 4.6213, tra_acc: 1.0000, tes_acc: 0.7303, tes_loss: 5.6333, best_acc: 0.9363, best_epoch: 34
