
---------------------------------------------------------------------start subect:1---------------------------------------------------------------------
 Epoch 0 tra_loss: 15.9853, tra_acc: 0.9599, tes_acc: 0.6793, tes_loss: 17.2602, best_acc: 0.6793, best_epoch: 1
Epoch 1 tra_loss: 14.4339, tra_acc: 1.0000, tes_acc: 0.8280, tes_loss: 16.5296, best_acc: 0.8280, best_epoch: 2
Epoch 2 tra_loss: 13.8257, tra_acc: 1.0000, tes_acc: 0.8280, tes_loss: 15.8252, best_acc: 0.8280, best_epoch: 2
Epoch 3 tra_loss: 13.3242, tra_acc: 1.0000, tes_acc: 0.8280, tes_loss: 14.9334, best_acc: 0.8280, best_epoch: 2
Epoch 4 tra_loss: 12.9120, tra_acc: 1.0000, tes_acc: 1.0000, tes_loss: 14.2256, best_acc: 1.0000, best_epoch: 5

---------------------------------------------------------------------start subect:2---------------------------------------------------------------------
 Epoch 0 tra_loss: 16.0272, tra_acc: 0.8878, tes_acc: 0.6589, tes_loss: 17.2393, best_acc: 0.6589, best_epoch: 1
Epoch 1 tra_loss: 14.3128, tra_acc: 1.0000, tes_acc: 0.8309, tes_loss: 16.6688, best_acc: 0.8309, best_epoch: 2
Epoch 2 tra_loss: 13.7125, tra_acc: 1.0000, tes_acc: 0.8309, tes_loss: 15.9312, best_acc: 0.8309, best_epoch: 2
Epoch 3 tra_loss: 13.2696, tra_acc: 1.0000, tes_acc: 1.0000, tes_loss: 15.1212, best_acc: 1.0000, best_epoch: 4

---------------------------------------------------------------------start subect:3---------------------------------------------------------------------
 Epoch 0 tra_loss: 16.1601, tra_acc: 0.9118, tes_acc: 0.8280, tes_loss: 17.3759, best_acc: 0.8280, best_epoch: 1
Epoch 1 tra_loss: 14.6592, tra_acc: 1.0000, tes_acc: 1.0000, tes_loss: 16.8488, best_acc: 1.0000, best_epoch: 2

---------------------------------------------------------------------start subect:4---------------------------------------------------------------------
 Epoch 0 tra_loss: 16.0968, tra_acc: 0.9659, tes_acc: 0.8309, tes_loss: 17.3083, best_acc: 0.8309, best_epoch: 1
Epoch 1 tra_loss: 14.3705, tra_acc: 1.0000, tes_acc: 0.8309, tes_loss: 16.7053, best_acc: 0.8309, best_epoch: 1
Epoch 2 tra_loss: 13.7660, tra_acc: 1.0000, tes_acc: 0.8309, tes_loss: 15.8124, best_acc: 0.8309, best_epoch: 1
Epoch 3 tra_loss: 13.2453, tra_acc: 1.0000, tes_acc: 0.8309, tes_loss: 14.9517, best_acc: 0.8309, best_epoch: 1
Epoch 4 tra_loss: 12.8183, tra_acc: 1.0000, tes_acc: 0.9300, tes_loss: 14.3130, best_acc: 0.9300, best_epoch: 5
Epoch 5 tra_loss: 12.4053, tra_acc: 1.0000, tes_acc: 1.0000, tes_loss: 13.7747, best_acc: 1.0000, best_epoch: 6

---------------------------------------------------------------------start subect:5---------------------------------------------------------------------
