
---------------------------------------------------------------------start subect:1---------------------------------------------------------------------
 Epoch 0 tra_loss: 13.7318, tra_acc: 0.8111, tes_acc: 0.3034, tes_loss: 14.5402, best_acc: 0.3034, best_epoch: 1
Epoch 1 tra_loss: 12.2575, tra_acc: 1.0000, tes_acc: 0.3621, tes_loss: 14.1386, best_acc: 0.3621, best_epoch: 2
Epoch 2 tra_loss: 11.6042, tra_acc: 1.0000, tes_acc: 0.5138, tes_loss: 13.5779, best_acc: 0.5138, best_epoch: 3
Epoch 3 tra_loss: 11.2245, tra_acc: 1.0000, tes_acc: 0.5103, tes_loss: 13.0531, best_acc: 0.5138, best_epoch: 3
Epoch 4 tra_loss: 10.9518, tra_acc: 1.0000, tes_acc: 0.4862, tes_loss: 12.6880, best_acc: 0.5138, best_epoch: 3
Epoch 5 tra_loss: 10.7348, tra_acc: 1.0000, tes_acc: 0.6448, tes_loss: 12.4380, best_acc: 0.6448, best_epoch: 6
Epoch 6 tra_loss: 10.5395, tra_acc: 1.0000, tes_acc: 0.3276, tes_loss: 12.6576, best_acc: 0.6448, best_epoch: 6
Epoch 7 tra_loss: 10.3016, tra_acc: 1.0000, tes_acc: 0.5172, tes_loss: 12.1829, best_acc: 0.6448, best_epoch: 6
Epoch 8 tra_loss: 10.0939, tra_acc: 1.0000, tes_acc: 0.7069, tes_loss: 12.0819, best_acc: 0.7069, best_epoch: 9
Epoch 9 tra_loss: 9.9313, tra_acc: 1.0000, tes_acc: 0.6345, tes_loss: 11.8510, best_acc: 0.7069, best_epoch: 9
Epoch 10 tra_loss: 9.7853, tra_acc: 1.0000, tes_acc: 0.6345, tes_loss: 11.6777, best_acc: 0.7069, best_epoch: 9
Epoch 11 tra_loss: 9.6471, tra_acc: 1.0000, tes_acc: 0.6172, tes_loss: 11.5505, best_acc: 0.7069, best_epoch: 9
Epoch 12 tra_loss: 9.5036, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 11.8642, best_acc: 0.7069, best_epoch: 9
Epoch 13 tra_loss: 9.3594, tra_acc: 1.0000, tes_acc: 0.6103, tes_loss: 11.1636, best_acc: 0.7069, best_epoch: 9
Epoch 14 tra_loss: 9.2204, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 11.3024, best_acc: 0.7069, best_epoch: 9
Epoch 15 tra_loss: 9.0974, tra_acc: 1.0000, tes_acc: 0.6172, tes_loss: 11.0041, best_acc: 0.7069, best_epoch: 9
Epoch 16 tra_loss: 8.9643, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 10.9622, best_acc: 0.7069, best_epoch: 9
Epoch 17 tra_loss: 8.8199, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 10.8055, best_acc: 0.7069, best_epoch: 9
Epoch 18 tra_loss: 8.6926, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 10.7326, best_acc: 0.7069, best_epoch: 9
Epoch 19 tra_loss: 8.5685, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 10.6807, best_acc: 0.7069, best_epoch: 9
Epoch 20 tra_loss: 8.4516, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 10.6919, best_acc: 0.7069, best_epoch: 9
Epoch 21 tra_loss: 8.3264, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 10.4805, best_acc: 0.7069, best_epoch: 9
Epoch 22 tra_loss: 8.2051, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 10.2882, best_acc: 0.7069, best_epoch: 9
Epoch 23 tra_loss: 8.0917, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 10.1817, best_acc: 0.7069, best_epoch: 9
Epoch 24 tra_loss: 7.9714, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 10.0882, best_acc: 0.7069, best_epoch: 9
