
---------------------------------------------------------------------start subect:1---------------------------------------------------------------------
 Epoch 0 tra_loss: 8.7606, tra_acc: 0.9055, tes_acc: 0.4310, tes_loss: 10.3987, best_acc: 0.4310, best_epoch: 1
Epoch 1 tra_loss: 7.5038, tra_acc: 1.0000, tes_acc: 0.2448, tes_loss: 9.9891, best_acc: 0.4310, best_epoch: 1
Epoch 2 tra_loss: 7.1272, tra_acc: 1.0000, tes_acc: 0.2448, tes_loss: 10.5174, best_acc: 0.4310, best_epoch: 1
Epoch 3 tra_loss: 6.8449, tra_acc: 1.0000, tes_acc: 0.2448, tes_loss: 10.1319, best_acc: 0.4310, best_epoch: 1
Epoch 4 tra_loss: 6.6854, tra_acc: 1.0000, tes_acc: 0.3034, tes_loss: 9.3895, best_acc: 0.4310, best_epoch: 1
Epoch 5 tra_loss: 6.5478, tra_acc: 1.0000, tes_acc: 0.4207, tes_loss: 8.7828, best_acc: 0.4310, best_epoch: 1
Epoch 6 tra_loss: 6.4719, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 8.3592, best_acc: 0.5724, best_epoch: 7
Epoch 7 tra_loss: 6.3278, tra_acc: 1.0000, tes_acc: 0.7034, tes_loss: 8.1065, best_acc: 0.7034, best_epoch: 8
Epoch 8 tra_loss: 6.1956, tra_acc: 1.0000, tes_acc: 0.6586, tes_loss: 7.8986, best_acc: 0.7034, best_epoch: 8
Epoch 9 tra_loss: 6.0993, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 7.9995, best_acc: 0.7034, best_epoch: 8
Epoch 10 tra_loss: 5.9845, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 7.7648, best_acc: 0.7034, best_epoch: 8
Epoch 11 tra_loss: 5.8744, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 7.4950, best_acc: 0.7034, best_epoch: 8
Epoch 12 tra_loss: 5.7707, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 7.5102, best_acc: 0.7034, best_epoch: 8
Epoch 13 tra_loss: 5.7048, tra_acc: 1.0000, tes_acc: 0.6897, tes_loss: 7.7925, best_acc: 0.7034, best_epoch: 8
Epoch 14 tra_loss: 5.5714, tra_acc: 1.0000, tes_acc: 0.4862, tes_loss: 7.7070, best_acc: 0.7034, best_epoch: 8
Epoch 15 tra_loss: 5.4927, tra_acc: 1.0000, tes_acc: 0.4414, tes_loss: 7.7417, best_acc: 0.7034, best_epoch: 8
Epoch 16 tra_loss: 5.3700, tra_acc: 1.0000, tes_acc: 0.5207, tes_loss: 7.7190, best_acc: 0.7034, best_epoch: 8
Epoch 17 tra_loss: 5.2674, tra_acc: 1.0000, tes_acc: 0.5690, tes_loss: 7.4000, best_acc: 0.7034, best_epoch: 8
Epoch 18 tra_loss: 5.1616, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 7.1431, best_acc: 0.7034, best_epoch: 8
Epoch 19 tra_loss: 5.0614, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 7.0625, best_acc: 0.7034, best_epoch: 8
Epoch 20 tra_loss: 4.9593, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 6.8801, best_acc: 0.7034, best_epoch: 8
Epoch 21 tra_loss: 4.8637, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 6.9008, best_acc: 0.7034, best_epoch: 8
Epoch 22 tra_loss: 4.7627, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 6.7352, best_acc: 0.7034, best_epoch: 8
Epoch 23 tra_loss: 4.6681, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 6.7231, best_acc: 0.7034, best_epoch: 8
Epoch 24 tra_loss: 4.5877, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 6.2741, best_acc: 0.7034, best_epoch: 8
Epoch 25 tra_loss: 4.4804, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 6.3474, best_acc: 0.7034, best_epoch: 8
Epoch 26 tra_loss: 4.3791, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 6.2598, best_acc: 0.7034, best_epoch: 8
Epoch 27 tra_loss: 4.3168, tra_acc: 1.0000, tes_acc: 0.5207, tes_loss: 6.4228, best_acc: 0.7034, best_epoch: 8
Epoch 28 tra_loss: 4.2127, tra_acc: 1.0000, tes_acc: 0.4759, tes_loss: 6.2880, best_acc: 0.7034, best_epoch: 8
Epoch 29 tra_loss: 4.1172, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 6.1121, best_acc: 0.7034, best_epoch: 8
Epoch 30 tra_loss: 4.0279, tra_acc: 1.0000, tes_acc: 0.3241, tes_loss: 6.2880, best_acc: 0.7034, best_epoch: 8
Epoch 31 tra_loss: 3.9348, tra_acc: 1.0000, tes_acc: 0.5448, tes_loss: 5.8844, best_acc: 0.7034, best_epoch: 8
Epoch 32 tra_loss: 3.8778, tra_acc: 1.0000, tes_acc: 0.4207, tes_loss: 6.3996, best_acc: 0.7034, best_epoch: 8
Epoch 33 tra_loss: 3.7783, tra_acc: 1.0000, tes_acc: 0.4034, tes_loss: 5.8895, best_acc: 0.7034, best_epoch: 8
Epoch 34 tra_loss: 3.6925, tra_acc: 1.0000, tes_acc: 0.4759, tes_loss: 5.5965, best_acc: 0.7034, best_epoch: 8
Epoch 35 tra_loss: 3.6833, tra_acc: 1.0000, tes_acc: 0.4759, tes_loss: 5.9409, best_acc: 0.7034, best_epoch: 8
Epoch 36 tra_loss: 3.6536, tra_acc: 1.0000, tes_acc: 0.3276, tes_loss: 6.4460, best_acc: 0.7034, best_epoch: 8
Epoch 37 tra_loss: 3.6544, tra_acc: 1.0000, tes_acc: 0.2138, tes_loss: 7.1061, best_acc: 0.7034, best_epoch: 8
Epoch 38 tra_loss: 3.5414, tra_acc: 1.0000, tes_acc: 0.4069, tes_loss: 6.0023, best_acc: 0.7034, best_epoch: 8
Epoch 39 tra_loss: 3.4300, tra_acc: 1.0000, tes_acc: 0.6759, tes_loss: 5.3353, best_acc: 0.7034, best_epoch: 8
Epoch 40 tra_loss: 3.3707, tra_acc: 1.0000, tes_acc: 0.7586, tes_loss: 4.9462, best_acc: 0.7586, best_epoch: 41
Epoch 41 tra_loss: 3.3098, tra_acc: 1.0000, tes_acc: 0.4379, tes_loss: 5.3364, best_acc: 0.7586, best_epoch: 41
Epoch 42 tra_loss: 3.2208, tra_acc: 1.0000, tes_acc: 0.3586, tes_loss: 5.3265, best_acc: 0.7586, best_epoch: 41
Epoch 43 tra_loss: 3.2026, tra_acc: 1.0000, tes_acc: 0.5310, tes_loss: 5.8938, best_acc: 0.7586, best_epoch: 41
Epoch 44 tra_loss: 3.1232, tra_acc: 1.0000, tes_acc: 0.4690, tes_loss: 5.5774, best_acc: 0.7586, best_epoch: 41
Epoch 45 tra_loss: 3.0490, tra_acc: 1.0000, tes_acc: 0.3448, tes_loss: 5.1581, best_acc: 0.7586, best_epoch: 41
Epoch 46 tra_loss: 2.9834, tra_acc: 1.0000, tes_acc: 0.4207, tes_loss: 5.8690, best_acc: 0.7586, best_epoch: 41
Epoch 47 tra_loss: 2.9191, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 4.8241, best_acc: 0.7586, best_epoch: 41
Epoch 48 tra_loss: 2.8485, tra_acc: 1.0000, tes_acc: 0.5966, tes_loss: 4.4816, best_acc: 0.7586, best_epoch: 41
Epoch 49 tra_loss: 2.7873, tra_acc: 1.0000, tes_acc: 0.4724, tes_loss: 4.6149, best_acc: 0.7586, best_epoch: 41
Epoch 50 tra_loss: 2.7231, tra_acc: 1.0000, tes_acc: 0.4690, tes_loss: 4.4957, best_acc: 0.7586, best_epoch: 41
Epoch 51 tra_loss: 2.6744, tra_acc: 1.0000, tes_acc: 0.4759, tes_loss: 4.4214, best_acc: 0.7586, best_epoch: 41
Epoch 52 tra_loss: 2.6209, tra_acc: 1.0000, tes_acc: 0.4345, tes_loss: 4.5381, best_acc: 0.7586, best_epoch: 41
Epoch 53 tra_loss: 2.6254, tra_acc: 1.0000, tes_acc: 0.3276, tes_loss: 4.8943, best_acc: 0.7586, best_epoch: 41
Epoch 54 tra_loss: 2.5872, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 5.4407, best_acc: 0.7586, best_epoch: 41
Epoch 55 tra_loss: 2.5820, tra_acc: 1.0000, tes_acc: 0.3276, tes_loss: 5.3782, best_acc: 0.7586, best_epoch: 41
Epoch 56 tra_loss: 2.5443, tra_acc: 1.0000, tes_acc: 0.5517, tes_loss: 5.0405, best_acc: 0.7586, best_epoch: 41
Epoch 57 tra_loss: 2.5405, tra_acc: 1.0000, tes_acc: 0.7586, tes_loss: 4.5490, best_acc: 0.7586, best_epoch: 41
Epoch 58 tra_loss: 2.4848, tra_acc: 1.0000, tes_acc: 0.6379, tes_loss: 4.6310, best_acc: 0.7586, best_epoch: 41
Epoch 59 tra_loss: 2.4629, tra_acc: 1.0000, tes_acc: 0.6310, tes_loss: 4.3773, best_acc: 0.7586, best_epoch: 41
Epoch 60 tra_loss: 2.4349, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 5.0354, best_acc: 0.7586, best_epoch: 41
Epoch 61 tra_loss: 2.5133, tra_acc: 1.0000, tes_acc: 0.3138, tes_loss: 5.2319, best_acc: 0.7586, best_epoch: 41
Epoch 62 tra_loss: 2.4513, tra_acc: 1.0000, tes_acc: 0.3621, tes_loss: 4.8209, best_acc: 0.7586, best_epoch: 41
Epoch 63 tra_loss: 2.4092, tra_acc: 1.0000, tes_acc: 0.4103, tes_loss: 4.2370, best_acc: 0.7586, best_epoch: 41
Epoch 64 tra_loss: 2.3882, tra_acc: 1.0000, tes_acc: 0.7000, tes_loss: 3.9834, best_acc: 0.7586, best_epoch: 41
Epoch 65 tra_loss: 2.3567, tra_acc: 1.0000, tes_acc: 0.3621, tes_loss: 4.2398, best_acc: 0.7586, best_epoch: 41
Epoch 66 tra_loss: 2.3402, tra_acc: 1.0000, tes_acc: 0.5138, tes_loss: 4.3399, best_acc: 0.7586, best_epoch: 41
Epoch 67 tra_loss: 2.3335, tra_acc: 1.0000, tes_acc: 0.6690, tes_loss: 4.4199, best_acc: 0.7586, best_epoch: 41
Epoch 68 tra_loss: 2.3020, tra_acc: 1.0000, tes_acc: 0.3276, tes_loss: 4.7961, best_acc: 0.7586, best_epoch: 41
Epoch 69 tra_loss: 2.2890, tra_acc: 1.0000, tes_acc: 0.5828, tes_loss: 4.4126, best_acc: 0.7586, best_epoch: 41
Epoch 70 tra_loss: 2.2815, tra_acc: 1.0000, tes_acc: 0.6034, tes_loss: 4.6689, best_acc: 0.7586, best_epoch: 41
Epoch 71 tra_loss: 2.2388, tra_acc: 1.0000, tes_acc: 0.6414, tes_loss: 4.3046, best_acc: 0.7586, best_epoch: 41
Epoch 72 tra_loss: 2.2418, tra_acc: 1.0000, tes_acc: 0.4552, tes_loss: 4.3128, best_acc: 0.7586, best_epoch: 41
Epoch 73 tra_loss: 2.2074, tra_acc: 1.0000, tes_acc: 0.4690, tes_loss: 4.6374, best_acc: 0.7586, best_epoch: 41
