
---------------------------------------------------------------------start subect:1---------------------------------------------------------------------
 Epoch 0 tra_loss: 8.5758, tra_acc: 0.8955, tes_acc: 0.1985, tes_loss: 10.5440, best_acc: 0.1985, best_epoch: 1
Epoch 1 tra_loss: 7.2652, tra_acc: 1.0000, tes_acc: 0.2884, tes_loss: 9.7469, best_acc: 0.2884, best_epoch: 2
Epoch 2 tra_loss: 7.0421, tra_acc: 1.0000, tes_acc: 0.3933, tes_loss: 9.3545, best_acc: 0.3933, best_epoch: 3
Epoch 3 tra_loss: 6.8387, tra_acc: 1.0000, tes_acc: 0.2884, tes_loss: 8.7786, best_acc: 0.3933, best_epoch: 3
Epoch 4 tra_loss: 6.6775, tra_acc: 1.0000, tes_acc: 0.6554, tes_loss: 8.2365, best_acc: 0.6554, best_epoch: 5
Epoch 5 tra_loss: 6.5686, tra_acc: 1.0000, tes_acc: 0.6742, tes_loss: 7.9871, best_acc: 0.6742, best_epoch: 6
Epoch 6 tra_loss: 6.4555, tra_acc: 1.0000, tes_acc: 0.7041, tes_loss: 7.8381, best_acc: 0.7041, best_epoch: 7
Epoch 7 tra_loss: 6.3437, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 7.7484, best_acc: 0.7828, best_epoch: 8
Epoch 8 tra_loss: 6.2464, tra_acc: 1.0000, tes_acc: 0.7266, tes_loss: 7.6217, best_acc: 0.7828, best_epoch: 8
Epoch 9 tra_loss: 6.1834, tra_acc: 1.0000, tes_acc: 0.7640, tes_loss: 7.5908, best_acc: 0.7828, best_epoch: 8
Epoch 10 tra_loss: 6.0747, tra_acc: 1.0000, tes_acc: 0.7303, tes_loss: 7.6528, best_acc: 0.7828, best_epoch: 8
Epoch 11 tra_loss: 6.0124, tra_acc: 1.0000, tes_acc: 0.4345, tes_loss: 7.8192, best_acc: 0.7828, best_epoch: 8
Epoch 12 tra_loss: 5.8733, tra_acc: 1.0000, tes_acc: 0.6067, tes_loss: 7.4984, best_acc: 0.7828, best_epoch: 8
Epoch 13 tra_loss: 5.7815, tra_acc: 1.0000, tes_acc: 0.6742, tes_loss: 7.3001, best_acc: 0.7828, best_epoch: 8
Epoch 14 tra_loss: 5.6865, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 7.2838, best_acc: 0.7828, best_epoch: 8
Epoch 15 tra_loss: 5.5915, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 7.3083, best_acc: 0.7828, best_epoch: 8
Epoch 16 tra_loss: 5.4959, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 7.1489, best_acc: 0.7828, best_epoch: 8
Epoch 17 tra_loss: 5.4117, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 7.1100, best_acc: 0.7828, best_epoch: 8
Epoch 18 tra_loss: 5.3203, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 6.9562, best_acc: 0.7828, best_epoch: 8
Epoch 19 tra_loss: 5.2286, tra_acc: 1.0000, tes_acc: 0.6330, tes_loss: 6.8320, best_acc: 0.7828, best_epoch: 8
Epoch 20 tra_loss: 5.1366, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 6.9793, best_acc: 0.7828, best_epoch: 8
Epoch 21 tra_loss: 5.0525, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 6.7506, best_acc: 0.7828, best_epoch: 8
Epoch 22 tra_loss: 4.9555, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 6.5544, best_acc: 0.7828, best_epoch: 8
Epoch 23 tra_loss: 4.8717, tra_acc: 1.0000, tes_acc: 0.6667, tes_loss: 6.3286, best_acc: 0.7828, best_epoch: 8
Epoch 24 tra_loss: 4.7794, tra_acc: 1.0000, tes_acc: 0.6105, tes_loss: 6.5962, best_acc: 0.7828, best_epoch: 8
Epoch 25 tra_loss: 4.6912, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 6.2831, best_acc: 0.7828, best_epoch: 8
Epoch 26 tra_loss: 4.6639, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 6.1489, best_acc: 0.7828, best_epoch: 8
Epoch 27 tra_loss: 4.5571, tra_acc: 1.0000, tes_acc: 0.6255, tes_loss: 6.4416, best_acc: 0.7828, best_epoch: 8
Epoch 28 tra_loss: 4.4672, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 6.4679, best_acc: 0.7828, best_epoch: 8
Epoch 29 tra_loss: 4.3807, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 6.3348, best_acc: 0.7828, best_epoch: 8
Epoch 30 tra_loss: 4.2878, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 5.9351, best_acc: 0.7828, best_epoch: 8
Epoch 31 tra_loss: 4.2093, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 6.0193, best_acc: 0.7828, best_epoch: 8
Epoch 32 tra_loss: 4.1262, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 5.8586, best_acc: 0.7828, best_epoch: 8
Epoch 33 tra_loss: 4.0379, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 5.7764, best_acc: 0.7828, best_epoch: 8
Epoch 34 tra_loss: 3.9620, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 5.7106, best_acc: 0.7828, best_epoch: 8
Epoch 35 tra_loss: 3.8805, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 5.8482, best_acc: 0.7828, best_epoch: 8
Epoch 36 tra_loss: 3.8016, tra_acc: 1.0000, tes_acc: 0.6667, tes_loss: 5.4044, best_acc: 0.7828, best_epoch: 8
Epoch 37 tra_loss: 3.7254, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 5.5297, best_acc: 0.7828, best_epoch: 8
Epoch 38 tra_loss: 3.6590, tra_acc: 1.0000, tes_acc: 0.6779, tes_loss: 5.3493, best_acc: 0.7828, best_epoch: 8
Epoch 39 tra_loss: 3.6423, tra_acc: 1.0000, tes_acc: 0.5094, tes_loss: 5.8887, best_acc: 0.7828, best_epoch: 8
Epoch 40 tra_loss: 3.6543, tra_acc: 1.0000, tes_acc: 0.7940, tes_loss: 5.4180, best_acc: 0.7940, best_epoch: 41
Epoch 41 tra_loss: 3.5844, tra_acc: 1.0000, tes_acc: 0.7303, tes_loss: 5.5653, best_acc: 0.7940, best_epoch: 41
Epoch 42 tra_loss: 3.5339, tra_acc: 1.0000, tes_acc: 0.5393, tes_loss: 5.5620, best_acc: 0.7940, best_epoch: 41
Epoch 43 tra_loss: 3.4629, tra_acc: 1.0000, tes_acc: 0.6554, tes_loss: 5.0553, best_acc: 0.7940, best_epoch: 41
Epoch 44 tra_loss: 3.3973, tra_acc: 1.0000, tes_acc: 0.4869, tes_loss: 5.3344, best_acc: 0.7940, best_epoch: 41
Epoch 45 tra_loss: 3.3593, tra_acc: 1.0000, tes_acc: 0.7753, tes_loss: 4.8400, best_acc: 0.7940, best_epoch: 41
Epoch 46 tra_loss: 3.3195, tra_acc: 1.0000, tes_acc: 0.6255, tes_loss: 4.7142, best_acc: 0.7940, best_epoch: 41
Epoch 47 tra_loss: 3.2238, tra_acc: 1.0000, tes_acc: 0.6067, tes_loss: 4.6105, best_acc: 0.7940, best_epoch: 41
Epoch 48 tra_loss: 3.1448, tra_acc: 1.0000, tes_acc: 0.4345, tes_loss: 5.1677, best_acc: 0.7940, best_epoch: 41
Epoch 49 tra_loss: 3.0828, tra_acc: 1.0000, tes_acc: 0.5393, tes_loss: 4.7427, best_acc: 0.7940, best_epoch: 41
Epoch 50 tra_loss: 3.0199, tra_acc: 1.0000, tes_acc: 0.6479, tes_loss: 4.6734, best_acc: 0.7940, best_epoch: 41
Epoch 51 tra_loss: 2.9579, tra_acc: 1.0000, tes_acc: 0.6180, tes_loss: 4.5062, best_acc: 0.7940, best_epoch: 41
Epoch 52 tra_loss: 2.9046, tra_acc: 1.0000, tes_acc: 0.4794, tes_loss: 4.6847, best_acc: 0.7940, best_epoch: 41
Epoch 53 tra_loss: 2.8733, tra_acc: 1.0000, tes_acc: 0.4345, tes_loss: 4.6160, best_acc: 0.7940, best_epoch: 41
Epoch 54 tra_loss: 2.7876, tra_acc: 1.0000, tes_acc: 0.4345, tes_loss: 4.6712, best_acc: 0.7940, best_epoch: 41
Epoch 55 tra_loss: 2.7459, tra_acc: 1.0000, tes_acc: 0.4794, tes_loss: 4.6640, best_acc: 0.7940, best_epoch: 41
Epoch 56 tra_loss: 2.7021, tra_acc: 1.0000, tes_acc: 0.7303, tes_loss: 4.2924, best_acc: 0.7940, best_epoch: 41
Epoch 57 tra_loss: 2.6716, tra_acc: 1.0000, tes_acc: 0.5056, tes_loss: 4.2784, best_acc: 0.7940, best_epoch: 41
