
---------------------------------------------------------------------start subect:1---------------------------------------------------------------------
 Epoch 0 tra_loss: 14.6416, tra_acc: 0.8991, tes_acc: 0.3933, tes_loss: 18.1519, best_acc: 0.3933, best_epoch: 1
Epoch 1 tra_loss: 12.8835, tra_acc: 1.0000, tes_acc: 0.2884, tes_loss: 18.4944, best_acc: 0.3933, best_epoch: 1
Epoch 2 tra_loss: 11.9188, tra_acc: 1.0000, tes_acc: 0.2884, tes_loss: 15.6934, best_acc: 0.3933, best_epoch: 1
Epoch 3 tra_loss: 11.0539, tra_acc: 1.0000, tes_acc: 0.2884, tes_loss: 12.0534, best_acc: 0.3933, best_epoch: 1
Epoch 4 tra_loss: 10.3320, tra_acc: 1.0000, tes_acc: 0.9476, tes_loss: 10.9674, best_acc: 0.9476, best_epoch: 5
Epoch 5 tra_loss: 9.7979, tra_acc: 1.0000, tes_acc: 0.8052, tes_loss: 10.4329, best_acc: 0.9476, best_epoch: 5
Epoch 6 tra_loss: 9.3380, tra_acc: 1.0000, tes_acc: 1.0000, tes_loss: 10.0091, best_acc: 1.0000, best_epoch: 7

---------------------------------------------------------------------start subect:2---------------------------------------------------------------------
 Epoch 0 tra_loss: 14.5104, tra_acc: 0.8180, tes_acc: 0.3933, tes_loss: 13.8642, best_acc: 0.3933, best_epoch: 1
Epoch 1 tra_loss: 12.8175, tra_acc: 0.9225, tes_acc: 0.7640, tes_loss: 12.9712, best_acc: 0.7640, best_epoch: 2
Epoch 2 tra_loss: 11.7492, tra_acc: 1.0000, tes_acc: 0.8464, tes_loss: 12.3454, best_acc: 0.8464, best_epoch: 3
Epoch 3 tra_loss: 10.9699, tra_acc: 1.0000, tes_acc: 0.8464, tes_loss: 11.9651, best_acc: 0.8464, best_epoch: 3
Epoch 4 tra_loss: 10.3670, tra_acc: 1.0000, tes_acc: 0.8464, tes_loss: 11.1956, best_acc: 0.8464, best_epoch: 3
Epoch 5 tra_loss: 9.9038, tra_acc: 1.0000, tes_acc: 0.8464, tes_loss: 10.3615, best_acc: 0.8464, best_epoch: 3
