
---------------------------------------------------------------------start subect:1---------------------------------------------------------------------
 Epoch 0 tra_loss: 14.3744, tra_acc: 0.8841, tes_acc: 0.2448, tes_loss: 15.7105, best_acc: 0.2448, best_epoch: 1
Epoch 1 tra_loss: 12.5827, tra_acc: 1.0000, tes_acc: 0.2448, tes_loss: 15.3523, best_acc: 0.2448, best_epoch: 1

---------------------------------------------------------------------start subect:1---------------------------------------------------------------------
 Epoch 0 tra_loss: 14.3744, tra_acc: 0.8841, tes_acc: 0.2448, tes_loss: 15.7105, best_acc: 0.2448, best_epoch: 1
Epoch 1 tra_loss: 12.5827, tra_acc: 1.0000, tes_acc: 0.2448, tes_loss: 15.3523, best_acc: 0.2448, best_epoch: 1
Epoch 2 tra_loss: 11.8412, tra_acc: 1.0000, tes_acc: 0.3034, tes_loss: 14.4740, best_acc: 0.3034, best_epoch: 3
Epoch 3 tra_loss: 11.3228, tra_acc: 1.0000, tes_acc: 0.4310, tes_loss: 13.8176, best_acc: 0.4310, best_epoch: 4
Epoch 4 tra_loss: 10.8697, tra_acc: 1.0000, tes_acc: 0.3310, tes_loss: 13.1259, best_acc: 0.4310, best_epoch: 4
Epoch 5 tra_loss: 10.4274, tra_acc: 1.0000, tes_acc: 0.4759, tes_loss: 12.5369, best_acc: 0.4759, best_epoch: 6
Epoch 6 tra_loss: 10.0459, tra_acc: 1.0000, tes_acc: 0.6655, tes_loss: 12.0049, best_acc: 0.6655, best_epoch: 7
Epoch 7 tra_loss: 9.6749, tra_acc: 1.0000, tes_acc: 0.6517, tes_loss: 11.4599, best_acc: 0.6655, best_epoch: 7
Epoch 8 tra_loss: 9.3222, tra_acc: 1.0000, tes_acc: 0.5517, tes_loss: 11.5156, best_acc: 0.6655, best_epoch: 7
Epoch 9 tra_loss: 8.9638, tra_acc: 1.0000, tes_acc: 0.4897, tes_loss: 10.9977, best_acc: 0.6655, best_epoch: 7
Epoch 10 tra_loss: 8.6058, tra_acc: 1.0000, tes_acc: 0.4759, tes_loss: 10.6389, best_acc: 0.6655, best_epoch: 7
Epoch 11 tra_loss: 8.2708, tra_acc: 1.0000, tes_acc: 0.5724, tes_loss: 10.4248, best_acc: 0.6655, best_epoch: 7
Epoch 12 tra_loss: 7.9705, tra_acc: 1.0000, tes_acc: 0.4759, tes_loss: 10.0555, best_acc: 0.6655, best_epoch: 7
Epoch 13 tra_loss: 7.7127, tra_acc: 1.0000, tes_acc: 0.4759, tes_loss: 9.9128, best_acc: 0.6655, best_epoch: 7
Epoch 14 tra_loss: 7.4432, tra_acc: 1.0000, tes_acc: 0.3655, tes_loss: 9.5880, best_acc: 0.6655, best_epoch: 7
Epoch 15 tra_loss: 7.1909, tra_acc: 1.0000, tes_acc: 0.4759, tes_loss: 9.3879, best_acc: 0.6655, best_epoch: 7
Epoch 16 tra_loss: 6.9577, tra_acc: 1.0000, tes_acc: 0.4828, tes_loss: 9.3305, best_acc: 0.6655, best_epoch: 7
Epoch 17 tra_loss: 6.7493, tra_acc: 1.0000, tes_acc: 0.4759, tes_loss: 8.8890, best_acc: 0.6655, best_epoch: 7
Epoch 18 tra_loss: 6.6352, tra_acc: 1.0000, tes_acc: 0.4759, tes_loss: 9.0504, best_acc: 0.6655, best_epoch: 7
