
---------------------------------------------------------------------start subect:1---------------------------------------------------------------------
 Epoch 0 tra_loss: 11.7792, tra_acc: 0.8669, tes_acc: 0.3793, tes_loss: 13.0653, best_acc: 0.3793, best_epoch: 1
Epoch 1 tra_loss: 10.4866, tra_acc: 1.0000, tes_acc: 0.4138, tes_loss: 12.6765, best_acc: 0.4138, best_epoch: 2
Epoch 2 tra_loss: 9.9450, tra_acc: 1.0000, tes_acc: 0.5900, tes_loss: 12.1971, best_acc: 0.5900, best_epoch: 3
Epoch 3 tra_loss: 9.5426, tra_acc: 1.0000, tes_acc: 0.5939, tes_loss: 11.6473, best_acc: 0.5939, best_epoch: 4
Epoch 4 tra_loss: 9.2720, tra_acc: 1.0000, tes_acc: 0.6284, tes_loss: 11.2962, best_acc: 0.6284, best_epoch: 5
Epoch 5 tra_loss: 8.9723, tra_acc: 1.0000, tes_acc: 0.6475, tes_loss: 10.7375, best_acc: 0.6475, best_epoch: 6
Epoch 6 tra_loss: 8.7006, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 10.4718, best_acc: 0.6475, best_epoch: 6
Epoch 7 tra_loss: 8.4222, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 10.1104, best_acc: 0.6475, best_epoch: 6
Epoch 8 tra_loss: 8.1818, tra_acc: 1.0000, tes_acc: 0.6475, tes_loss: 9.7694, best_acc: 0.6475, best_epoch: 6
Epoch 9 tra_loss: 7.8945, tra_acc: 1.0000, tes_acc: 0.6475, tes_loss: 9.5919, best_acc: 0.6475, best_epoch: 6
Epoch 10 tra_loss: 7.6399, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 9.2876, best_acc: 0.6475, best_epoch: 6
Epoch 11 tra_loss: 7.3979, tra_acc: 1.0000, tes_acc: 0.6475, tes_loss: 9.1531, best_acc: 0.6475, best_epoch: 6
Epoch 12 tra_loss: 7.1467, tra_acc: 1.0000, tes_acc: 0.6475, tes_loss: 8.8732, best_acc: 0.6475, best_epoch: 6
Epoch 13 tra_loss: 6.9169, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 8.6565, best_acc: 0.6475, best_epoch: 6
Epoch 14 tra_loss: 6.7031, tra_acc: 1.0000, tes_acc: 0.6475, tes_loss: 8.2608, best_acc: 0.6475, best_epoch: 6
