
---------------------------------------------------------------------start subect:1---------------------------------------------------------------------
 Epoch 0 tra_loss: 16.5079, tra_acc: 0.9045, tes_acc: 0.1685, tes_loss: 17.6874, best_acc: 0.1685, best_epoch: 1
Epoch 1 tra_loss: 14.8981, tra_acc: 1.0000, tes_acc: 0.4569, tes_loss: 17.2879, best_acc: 0.4569, best_epoch: 2
Epoch 2 tra_loss: 14.0136, tra_acc: 1.0000, tes_acc: 0.3933, tes_loss: 16.5741, best_acc: 0.4569, best_epoch: 2
Epoch 3 tra_loss: 13.5208, tra_acc: 1.0000, tes_acc: 0.3933, tes_loss: 15.7472, best_acc: 0.4569, best_epoch: 2
Epoch 4 tra_loss: 13.1349, tra_acc: 1.0000, tes_acc: 0.3933, tes_loss: 14.7886, best_acc: 0.4569, best_epoch: 2
Epoch 5 tra_loss: 12.7502, tra_acc: 1.0000, tes_acc: 0.5206, tes_loss: 14.3048, best_acc: 0.5206, best_epoch: 6
Epoch 6 tra_loss: 12.4079, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 13.7590, best_acc: 0.5918, best_epoch: 7
Epoch 7 tra_loss: 12.0611, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 13.2646, best_acc: 0.5918, best_epoch: 7
Epoch 8 tra_loss: 11.7308, tra_acc: 1.0000, tes_acc: 0.6217, tes_loss: 13.0825, best_acc: 0.6217, best_epoch: 9
Epoch 9 tra_loss: 11.4214, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 12.8241, best_acc: 0.7828, best_epoch: 10
Epoch 10 tra_loss: 11.0960, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 12.5433, best_acc: 0.7828, best_epoch: 10
Epoch 11 tra_loss: 10.7669, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 12.0512, best_acc: 0.7828, best_epoch: 10
Epoch 12 tra_loss: 10.4735, tra_acc: 1.0000, tes_acc: 0.5918, tes_loss: 11.9941, best_acc: 0.7828, best_epoch: 10
Epoch 13 tra_loss: 10.1507, tra_acc: 1.0000, tes_acc: 0.7603, tes_loss: 11.5468, best_acc: 0.7828, best_epoch: 10
Epoch 14 tra_loss: 9.8531, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 11.0196, best_acc: 0.7828, best_epoch: 10
Epoch 15 tra_loss: 9.5779, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 10.8152, best_acc: 0.7828, best_epoch: 10
Epoch 16 tra_loss: 9.3096, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 10.6050, best_acc: 0.7828, best_epoch: 10
Epoch 17 tra_loss: 9.0626, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 10.4744, best_acc: 0.7828, best_epoch: 10
Epoch 18 tra_loss: 8.8107, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 10.1199, best_acc: 0.7828, best_epoch: 10
Epoch 19 tra_loss: 8.5771, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 9.8385, best_acc: 0.7828, best_epoch: 10
Epoch 20 tra_loss: 8.3560, tra_acc: 1.0000, tes_acc: 0.7828, tes_loss: 9.8124, best_acc: 0.7828, best_epoch: 10
Epoch 21 tra_loss: 8.1632, tra_acc: 1.0000, tes_acc: 0.7715, tes_loss: 9.5224, best_acc: 0.7828, best_epoch: 10
Epoch 22 tra_loss: 7.9859, tra_acc: 1.0000, tes_acc: 0.7790, tes_loss: 9.2989, best_acc: 0.7828, best_epoch: 10
Epoch 23 tra_loss: 7.8296, tra_acc: 1.0000, tes_acc: 0.7378, tes_loss: 9.1340, best_acc: 0.7828, best_epoch: 10
Epoch 24 tra_loss: 7.6855, tra_acc: 1.0000, tes_acc: 0.7303, tes_loss: 9.0686, best_acc: 0.7828, best_epoch: 10
Epoch 25 tra_loss: 7.5499, tra_acc: 1.0000, tes_acc: 0.7640, tes_loss: 8.8503, best_acc: 0.7828, best_epoch: 10
Epoch 26 tra_loss: 7.4268, tra_acc: 1.0000, tes_acc: 0.8390, tes_loss: 8.6366, best_acc: 0.8390, best_epoch: 27
Epoch 27 tra_loss: 7.3375, tra_acc: 1.0000, tes_acc: 0.6779, tes_loss: 8.7721, best_acc: 0.8390, best_epoch: 27
Epoch 28 tra_loss: 7.2188, tra_acc: 1.0000, tes_acc: 0.7303, tes_loss: 8.8094, best_acc: 0.8390, best_epoch: 27
Epoch 29 tra_loss: 7.1135, tra_acc: 1.0000, tes_acc: 0.6442, tes_loss: 8.9512, best_acc: 0.8390, best_epoch: 27
Epoch 30 tra_loss: 7.0048, tra_acc: 1.0000, tes_acc: 0.7303, tes_loss: 8.6336, best_acc: 0.8390, best_epoch: 27
Epoch 31 tra_loss: 6.8970, tra_acc: 1.0000, tes_acc: 0.7303, tes_loss: 8.7099, best_acc: 0.8390, best_epoch: 27
Epoch 32 tra_loss: 6.7927, tra_acc: 1.0000, tes_acc: 0.7303, tes_loss: 8.3046, best_acc: 0.8390, best_epoch: 27
Epoch 33 tra_loss: 6.6907, tra_acc: 1.0000, tes_acc: 0.7303, tes_loss: 8.1056, best_acc: 0.8390, best_epoch: 27
Epoch 34 tra_loss: 6.6017, tra_acc: 1.0000, tes_acc: 0.8464, tes_loss: 7.8908, best_acc: 0.8464, best_epoch: 35
Epoch 35 tra_loss: 6.5015, tra_acc: 1.0000, tes_acc: 0.7303, tes_loss: 8.1945, best_acc: 0.8464, best_epoch: 35
