
---------------------------------------------------------------------start subect:1---------------------------------------------------------------------
 Epoch 0 tra_loss: 16.5299, tra_acc: 0.8862, tes_acc: 0.7318, tes_loss: 17.4986, best_acc: 0.7318, best_epoch: 1
Epoch 1 tra_loss: 14.7155, tra_acc: 1.0000, tes_acc: 0.6284, tes_loss: 16.9111, best_acc: 0.7318, best_epoch: 1
Epoch 2 tra_loss: 13.7907, tra_acc: 1.0000, tes_acc: 0.6284, tes_loss: 16.2533, best_acc: 0.7318, best_epoch: 1
Epoch 3 tra_loss: 13.2317, tra_acc: 1.0000, tes_acc: 0.6284, tes_loss: 15.5720, best_acc: 0.7318, best_epoch: 1
Epoch 4 tra_loss: 12.8330, tra_acc: 1.0000, tes_acc: 0.6284, tes_loss: 14.8692, best_acc: 0.7318, best_epoch: 1
Epoch 5 tra_loss: 12.4070, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 13.9798, best_acc: 0.7318, best_epoch: 1
Epoch 6 tra_loss: 12.0062, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 13.6970, best_acc: 0.7318, best_epoch: 1
Epoch 7 tra_loss: 11.6133, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 13.2405, best_acc: 0.7318, best_epoch: 1
Epoch 8 tra_loss: 11.2227, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 12.8485, best_acc: 0.7318, best_epoch: 1
Epoch 9 tra_loss: 10.8466, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 12.6714, best_acc: 0.7318, best_epoch: 1
Epoch 10 tra_loss: 10.4850, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 12.1834, best_acc: 0.7318, best_epoch: 1
Epoch 11 tra_loss: 10.1222, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 12.1409, best_acc: 0.7318, best_epoch: 1
Epoch 12 tra_loss: 9.7754, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 11.7586, best_acc: 0.7318, best_epoch: 1
Epoch 13 tra_loss: 9.4459, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 11.5298, best_acc: 0.7318, best_epoch: 1
Epoch 14 tra_loss: 9.1416, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 11.1930, best_acc: 0.7318, best_epoch: 1
Epoch 15 tra_loss: 8.8471, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 10.7659, best_acc: 0.7318, best_epoch: 1
Epoch 16 tra_loss: 8.5625, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 10.3780, best_acc: 0.7318, best_epoch: 1
Epoch 17 tra_loss: 8.2834, tra_acc: 1.0000, tes_acc: 0.6475, tes_loss: 10.2201, best_acc: 0.7318, best_epoch: 1
Epoch 18 tra_loss: 8.0490, tra_acc: 1.0000, tes_acc: 0.6475, tes_loss: 10.0088, best_acc: 0.7318, best_epoch: 1
Epoch 19 tra_loss: 7.8484, tra_acc: 1.0000, tes_acc: 0.6475, tes_loss: 10.0861, best_acc: 0.7318, best_epoch: 1
Epoch 20 tra_loss: 7.6678, tra_acc: 1.0000, tes_acc: 0.6475, tes_loss: 9.8233, best_acc: 0.7318, best_epoch: 1
Epoch 21 tra_loss: 7.5077, tra_acc: 1.0000, tes_acc: 0.6475, tes_loss: 9.7540, best_acc: 0.7318, best_epoch: 1
Epoch 22 tra_loss: 7.3788, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 9.3712, best_acc: 0.7318, best_epoch: 1
Epoch 23 tra_loss: 7.2466, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 9.3773, best_acc: 0.7318, best_epoch: 1
Epoch 24 tra_loss: 7.1041, tra_acc: 1.0000, tes_acc: 0.6667, tes_loss: 9.3415, best_acc: 0.7318, best_epoch: 1
Epoch 25 tra_loss: 6.9752, tra_acc: 1.0000, tes_acc: 0.6398, tes_loss: 9.1811, best_acc: 0.7318, best_epoch: 1
Epoch 26 tra_loss: 6.8470, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 8.9356, best_acc: 0.7318, best_epoch: 1
Epoch 27 tra_loss: 6.7400, tra_acc: 1.0000, tes_acc: 0.6475, tes_loss: 8.7028, best_acc: 0.7318, best_epoch: 1
Epoch 28 tra_loss: 6.6175, tra_acc: 1.0000, tes_acc: 0.6475, tes_loss: 8.8110, best_acc: 0.7318, best_epoch: 1
Epoch 29 tra_loss: 6.6143, tra_acc: 1.0000, tes_acc: 0.7088, tes_loss: 8.9646, best_acc: 0.7318, best_epoch: 1
Epoch 30 tra_loss: 6.4596, tra_acc: 1.0000, tes_acc: 0.5479, tes_loss: 9.1417, best_acc: 0.7318, best_epoch: 1
Epoch 31 tra_loss: 6.3501, tra_acc: 1.0000, tes_acc: 0.6284, tes_loss: 8.6276, best_acc: 0.7318, best_epoch: 1
Epoch 32 tra_loss: 6.2588, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 8.8018, best_acc: 0.7318, best_epoch: 1
Epoch 33 tra_loss: 6.1530, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 8.0722, best_acc: 0.7318, best_epoch: 1
Epoch 34 tra_loss: 6.0483, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 8.2653, best_acc: 0.7318, best_epoch: 1
Epoch 35 tra_loss: 5.9419, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 7.9944, best_acc: 0.7318, best_epoch: 1
Epoch 36 tra_loss: 5.8337, tra_acc: 1.0000, tes_acc: 0.7203, tes_loss: 8.0770, best_acc: 0.7318, best_epoch: 1
Epoch 37 tra_loss: 5.7331, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 7.7337, best_acc: 0.7318, best_epoch: 1
Epoch 38 tra_loss: 5.6361, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 7.4543, best_acc: 0.7318, best_epoch: 1
Epoch 39 tra_loss: 5.5381, tra_acc: 1.0000, tes_acc: 0.6782, tes_loss: 7.6789, best_acc: 0.7318, best_epoch: 1
Epoch 40 tra_loss: 5.4415, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 7.2982, best_acc: 0.7318, best_epoch: 1
Epoch 41 tra_loss: 5.3840, tra_acc: 1.0000, tes_acc: 0.5556, tes_loss: 7.3948, best_acc: 0.7318, best_epoch: 1
Epoch 42 tra_loss: 5.2861, tra_acc: 1.0000, tes_acc: 0.6973, tes_loss: 7.2305, best_acc: 0.7318, best_epoch: 1
Epoch 43 tra_loss: 5.2061, tra_acc: 1.0000, tes_acc: 0.6284, tes_loss: 7.4100, best_acc: 0.7318, best_epoch: 1
Epoch 44 tra_loss: 5.2848, tra_acc: 1.0000, tes_acc: 0.7701, tes_loss: 7.5378, best_acc: 0.7701, best_epoch: 45
Epoch 45 tra_loss: 5.1890, tra_acc: 1.0000, tes_acc: 0.6973, tes_loss: 7.4222, best_acc: 0.7701, best_epoch: 45
Epoch 46 tra_loss: 5.0604, tra_acc: 1.0000, tes_acc: 0.6973, tes_loss: 7.2844, best_acc: 0.7701, best_epoch: 45
Epoch 47 tra_loss: 4.9729, tra_acc: 1.0000, tes_acc: 0.6973, tes_loss: 6.8700, best_acc: 0.7701, best_epoch: 45
Epoch 48 tra_loss: 4.8819, tra_acc: 1.0000, tes_acc: 0.6284, tes_loss: 7.1153, best_acc: 0.7701, best_epoch: 45
Epoch 49 tra_loss: 4.7965, tra_acc: 1.0000, tes_acc: 0.6284, tes_loss: 6.9080, best_acc: 0.7701, best_epoch: 45
